form_code,field_name,field_label,field_type,required,validation,description,field_order
adverse_events,site_id,Site ID,select,TRUE,"in(UCSD,UCLA,UCSF,Stanford)",Site must match coordinator's assigned site,20
adverse_events,ae_id,AE ID,text,TRUE,,Format: AE-S1-NNN / AE-S2-NNN / AE-S3-NNN / AE-S4-NNN,30
adverse_events,onset_date,Onset Date,date,TRUE,,Date the adverse event began,40
adverse_events,resolution_date,Resolution Date,date,FALSE,,Date the adverse event resolved; leave blank if ongoing,50
adverse_events,ae_term,AE Term,text,TRUE,,Standardised adverse event term,60
adverse_events,severity,Severity,radio,TRUE,"in(mild,moderate,severe,life_threatening)",Severity grading of the adverse event,70
adverse_events,serious,Serious,radio,TRUE,"in(yes,no)",Whether the adverse event meets criteria for a serious adverse event,80
adverse_events,related,Relatedness,radio,TRUE,"in(yes,no,possibly,probably)",Investigator assessment of relatedness to study drug,90
adverse_events,action_taken,Action Taken,radio,TRUE,"in(none,dose_reduced,dose_interrupted,drug_discontinued,other)",Action taken in response to the adverse event,100
adverse_events,outcome,Outcome,radio,TRUE,"in(resolved,ongoing,resolved_with_sequelae,fatal)",Outcome of the adverse event at time of recording,110
adverse_events,notes,Notes,text,FALSE,,Additional notes relevant to the adverse event,120
concomitant_meds,subject_id,Subject ID,text,TRUE,,Must match an enrolled subject ID,10
concomitant_meds,site_id,Site ID,select,TRUE,"in(UCSD,UCLA,UCSF,Stanford)",Site must match coordinator's assigned site,20
concomitant_meds,med_id,Medication ID,text,TRUE,,Format: MED-S1-NNN / MED-S2-NNN / MED-S3-NNN / MED-S4-NNN,30
concomitant_meds,medication,Medication,text,TRUE,,Generic or brand name of the concomitant medication,40
concomitant_meds,indication,Indication,text,FALSE,,Medical indication for the medication,50
concomitant_meds,start_date,Start Date,date,TRUE,,Date the concomitant medication was started,60
concomitant_meds,stop_date,Stop Date,date,FALSE,,Date the concomitant medication was stopped; leave blank if ongoing,70
concomitant_meds,dose,Dose,text,FALSE,,Dose and unit of the concomitant medication,80
concomitant_meds,route,Route,radio,FALSE,"in(oral,topical,iv,im,other)",Route of administration,90
concomitant_meds,ongoing,Ongoing,radio,TRUE,"in(yes,no)",Whether the medication is still being taken,100
concomitant_meds,notes,Notes,text,FALSE,,Additional notes relevant to the concomitant medication,110
visits,subject_id,Subject ID,text,TRUE,,Must match an enrolled subject ID,10
visits,site_id,Site ID,select,TRUE,"in(UCSD,UCLA,UCSF,Stanford)",Site must match coordinator's assigned site,20
visits,visit_number,Visit Number,numeric,TRUE,between 1 and 6,Sequential visit number,30
visits,visit_date,Visit Date,date,TRUE,,Date the visit occurred,40
visits,visit_type,Visit Type,radio,TRUE,"in(screening,baseline,week4,week8,week12,end_of_study,early_termination)",Scheduled visit type,50
visits,completed,Completed,radio,TRUE,"in(yes,no)",Whether the visit was completed as scheduled,60
visits,reason_not_completed,Reason Not Completed,text,FALSE,,Reason if the visit was not completed,70
visits,study_status,Study Status,radio,TRUE,"in(ongoing,completed,withdrawn,lost_to_followup)",Subject's overall study status at the time of this visit,80
visits,withdrawal_reason,Withdrawal Reason,text,FALSE,,Reason for withdrawal if study_status = withdrawn,90
visits,notes,Notes,text,FALSE,,Additional notes relevant to the visit,100
